Deals:,,,,,,,,,,,,
Open Time,Ticket,Type,Size,Item,Price,Order,Comment,,Entry,Commission,Swap,Profit
2025.06.02 17:09:35,17231897,buy,0.07,USDJPY,142.631,79506047,,,out,0,0,2.06
2025.06.02 17:10:20,17231903,buy,0.07,USDJPY,142.623,79506053,,,out,0,0,16
2025.06.02 17:12:01,17231939,sell,0.07,USDJPY,142.59,79506089,,,in,0,0,0
2025.06.02 17:12:36,17231948,sell,0.07,EURUSD,1.14378,79506099,,,out,0,0,14.99
2025.06.02 17:13:58,17231963,buy,0.07,EURUSD,1.14391,79506114,,,in,0,0,0
2025.06.02 18:01:39,17232397,sell,0.05,USDJPY,142.708,79506557,,,in,0,0,0
2025.06.02 22:55:00,17234377,buy,0.05,USDJPY,142.694,79508563,,,out,0,0,0.43
2025.06.02 22:55:07,17234378,sell,0.07,EURUSD,1.14418,79508564,,,out,0,0,1.65
2025.06.03 02:49:34,17234763,buy,0.03,EURUSD,1.14533,79508958,,,in,0,0,0
2025.06.03 04:34:31,17234925,buy,0.07,USDJPY,143.135,79509122,[sl 143.133],,out,0,-1.15,-23.32
2025.06.03 07:52:59,17235516,sell,0.03,USDJPY,142.938,79509728,,,in,0,0,0
2025.06.03 11:02:05,17236662,buy,0.03,USDJPY,142.854,79510881,,,out,0,0,1.55
2025.06.03 11:13:17,17236801,sell,0.03,USDJPY,142.783,79511020,,,in,0,0,0
2025.06.03 11:36:11,17236962,sell,0.03,USDJPY,142.71,79511185,,,in,0,0,0
2025.06.03 13:59:21,17237774,buy,0.03,USDJPY,143.075,79511999,,,out,0,0,-5.37
2025.06.03 14:03:18,17237792,sell,0.03,EURUSD,1.13971,79512017,,,out,0,0,-14.79
2025.06.03 16:39:25,17239350,buy,0.03,EURUSD,1.13952,79513563,,,in,0,0,0
2025.06.03 17:00:01,17239620,buy,0.03,USDJPY,143.756,79513833,[sl 143.751],,out,0,0,-19.2
2025.06.03 19:40:09,17241640,sell,0.03,EURUSD,1.13677,79515889,,,out,0,0,-7.26
2025.06.03 20:35:39,17241926,sell,0.05,USDJPY,143.868,79516181,,,in,0,0,0
2025.06.03 22:55:57,17242707,buy,0.05,USDJPY,144.079,79516962,,,out,0,0,-6.44
2025.06.04 00:59:49,17242934,buy,0.03,EURUSD,1.13774,79517186,,,in,0,0,0
2025.06.04 08:37:04,17243954,sell,0.03,EURUSD,1.13613,79518263,,,out,0,0,-4.25
2025.06.04 09:30:48,17244373,sell,0.03,USDJPY,143.937,79518681,,,in,0,0,0
2025.06.04 09:31:11,17244376,buy,0.03,EURUSD,1.13726,79518684,,,in,0,0,0
2025.06.04 10:57:26,17245090,sell,0.03,EURUSD,1.13865,79519403,,,out,0,0,3.66
2025.06.04 15:20:03,17247368,buy,0.03,EURUSD,1.14035,79521696,,,in,0,0,0
2025.06.04 15:21:22,17247417,sell,0.03,USDJPY,143.647,79521746,,,in,0,0,0
2025.06.04 15:24:17,17247498,buy,0.03,USDJPY,143.746,79521825,,,out,0,0,3.5
2025.06.04 17:03:36,17248974,buy,0.03,USDJPY,143.321,79523320,[tp 143.323],,out,0,0,5.98
2025.06.04 17:05:47,17249054,sell,0.05,USDJPY,143.195,79523401,,,in,0,0,0
2025.06.04 17:07:58,17249189,sell,0.03,EURUSD,1.14256,79523536,[tp 1.14256],,out,0,0,5.8
2025.06.04 17:10:57,17249364,buy,0.05,EURUSD,1.14252,79523707,,,in,0,0,0
2025.06.04 20:02:31,17251515,buy,0.05,USDJPY,142.687,79525895,,,out,0,0,15.57
2025.06.04 20:05:55,17251546,sell,0.05,USDJPY,142.657,79525926,,,in,0,0,0
2025.06.04 20:06:50,17251551,sell,0.05,EURUSD,1.14307,79525932,,,out,0,0,2.41
2025.06.04 20:07:20,17251556,buy,0.05,EURUSD,1.1432,79525937,,,in,0,0,0
2025.06.04 20:25:01,17251705,buy,0.05,USDJPY,142.781,79526091,,,out,0,0,-3.8
