Дата,Символ,Тип,Лот,Суап,Печалба,,Месец,Начално салдо,Цел,Разлика,Изпълнена
02/04/2025 23:14:11,EURJPY,sell,0.03, 1.78, 7.65,,,,,,
02/04/2025 23:14:11,EURJPY,sell,0.05, 0.76, 24.51,,,,,,
02/04/2025 23:32:30,USDJPY,buy,0.05,0.00,- 11.91,,,,,,
02/04/2025 23:32:48,USDJPY,buy,0.05,0.00, 11.95,,,,,,
02/04/2025 23:38:57,EURJPY,buy,0.05,0.00, 16.83,,,,,,
02/04/2025 23:40:05,EURJPY,buy,0.06,0.00, 1.08,,,,,,
02/04/2025 23:45:55,EURUSD,sell,0.05,0.00,- 8.31,,,,,,
02/04/2025 23:45:55,EURJPY,buy,0.05,- 1.73, 0.71,,,,,,
03/04/2025 04:32:08,USDJPY,buy,0.09,0.00, 11.27,,,,,,
03/04/2025 04:43:11,USDJPY,buy,0.08,0.00, 6.36,,,,,,
03/04/2025 09:37:57,EURUSD,sell,0.08,0.00, 9.10,,,,,,
03/04/2025 11:25:21,USDJPY,buy,0.08,0.00, 11.78,,,,,,
03/04/2025 11:56:30,EURUSD,sell,0.08,0.00, 11.99,,,,,,
03/04/2025 12:07:21,EURUSD,sell,0.08,0.00, 8.49,,,,,,
03/04/2025 12:21:08,USDJPY,buy,0.08,0.00, 9.70,,,,,,
03/04/2025 12:29:31,USDJPY,buy,0.08,0.00, 4.85,,,,,,
03/04/2025 13:07:16,EURUSD,sell,0.08,0.00, 49.24,,,,,,
03/04/2025 13:13:59,EURUSD,sell,0.08,0.00,- 28.65,,,,,,
03/04/2025 13:30:32,USDJPY,buy,0.08,0.00,- 14.63,,,,,,
03/04/2025 14:47:12,EURUSD,sell,0.08,0.00, 3.90,,,,,,
03/04/2025 15:11:07,USDJPY,buy,0.08,0.00, 1.87,,,,,,
03/04/2025 15:20:16,USDJPY,buy,0.08,0.00, 21.35,,,,,,
03/04/2025 15:47:57,EURUSD,sell,0.08,0.00, 7.50,,,,,,
03/04/2025 16:05:27,EURUSD,sell,0.08,0.00, 4.54,,,,,,
03/04/2025 16:13:09,EURJPY,sell,0.05,0.00,- 14.28,,,,,,
04/04/2025 01:58:55,USDJPY,buy,0.08,- 1.46, 8.34,,,,,,
04/04/2025 02:01:11,USDJPY,buy,0.08,- 1.46,- 13.85,,,,,,
04/04/2025 02:04:27,EURUSD,sell,0.08,0.00,- 16.88,,,,,,
04/04/2025 02:20:49,USDJPY,buy,0.08,0.00, 17.79,,,,,,
04/04/2025 09:15:26,USDJPY,buy,0.08,0.00, 18.74,,,,,,
04/04/2025 13:30:32,USDJPY,buy,0.08,0.00, 0.65,,,,,,
04/04/2025 13:47:26,USDJPY,buy,0.08,0.00,- 0.70,,,,,,
04/04/2025 14:06:56,USDJPY,buy,0.08,0.00, 17.43,,,,,,
04/04/2025 14:16:43,USDJPY,buy,0.08,0.00,- 6.19,,,,,,
04/04/2025 15:05:59,USDJPY,buy,0.08,0.00,- 14.42,,,,,,
04/04/2025 15:31:26,USDJPY,buy,0.08,- 1.47, 8.79,,,,,,
07/04/2025 12:08:23,USDJPY,buy,0.08,0.00,- 15.64,,,,,,
07/04/2025 13:55:06,EURJPY,sell,0.08, 0.31, 13.73,,,,,,
07/04/2025 20:56:47,USDJPY,buy,0.06,- 1.10, 2.56,,,,,,
08/04/2025 10:35:28,EURJPY,buy,0.06,0.00, 9.09,,,,,,
08/04/2025 10:47:28,USDJPY,buy,0.06,0.00, 8.50,,,,,,
08/04/2025 10:50:44,USDJPY,buy,0.08,0.00,- 12.82,,,,,,
08/04/2025 11:03:57,USDJPY,buy,0.10,0.00, 12.61,,,,,,
08/04/2025 11:49:18,USDJPY,buy,0.08,0.00, 3.68,,,,,,
08/04/2025 13:03:51,EURJPY,buy,0.08,0.00, 10.25,,,,,,
08/04/2025 13:09:33,USDJPY,buy,0.08,0.00, 5.78,,,,,,
08/04/2025 13:26:37,EURUSD,sell,0.08,0.00, 4.90,,,,,,
08/04/2025 13:35:21,EURUSD,sell,0.08,0.00, 1.10,,,,,,
08/04/2025 16:26:50,USDJPY,sell,0.08,0.00, 12.17,,,,,,
08/04/2025 17:02:19,EURUSD,buy,0.08,0.00, 12.18,,,,,,
08/04/2025 17:31:45,EURJPY,buy,0.08,0.00, 0.30,,,,,,
08/04/2025 17:35:25,EURJPY,buy,0.08,0.00, 2.54,,,,,,
08/04/2025 17:45:41,USDJPY,buy,0.08,0.00, 2.64,,,,,,
08/04/2025 17:55:53,USDJPY,buy,0.08,0.00, 5.13,,,,,,
08/04/2025 18:13:21,EURJPY,buy,0.08,0.00, 3.04,,,,,,
08/04/2025 18:14:41,USDJPY,buy,0.08,0.00, 1.95,,,,,,
08/04/2025 18:14:42,USDJPY,buy,0.08,- 1.47, 1.35,,,,,,
09/04/2025 07:25:38,USDJPY,buy,0.08,0.00, 7.35,,,,,,
09/04/2025 07:28:22,EURUSD,sell,0.06,- 0.86, 7.32,,,,,,
09/04/2025 09:30:43,USDJPY,buy,0.08,0.00, 8.87,,,,,,
09/04/2025 09:44:39,USDJPY,buy,0.08,0.00, 14.77,,,,,,
09/04/2025 12:40:10,USDJPY,buy,0.08,0.00, 10.25,,,,,,
09/04/2025 13:32:54,USDJPY,buy,0.08,0.00, 6.41,,,,,,
09/04/2025 14:02:35,EURJPY,buy,0.08,0.00, 5.90,,,,,,
09/04/2025 15:19:50,EURUSD,sell,0.08,0.00, 12.86,,,,,,
09/04/2025 15:28:52,USDJPY,buy,0.08,0.00, 9.31,,,,,,
09/04/2025 16:20:41,USDJPY,buy,0.08,0.00, 5.86,,,,,,
