Deals:,,,,,,,,,,,,
Open Time,Ticket,Type,Size,Item,Price,Order,Comment,,Entry,Commission,Swap,Profit
2025.05.02 12:31:04,17016050,sell,0.07,USDJPY,144.783,79285761,,,in,0,0,0
2025.05.02 12:32:06,17016065,sell,0.03,USDJPY,144.76,79285776,,,out,0,0,-1.86
2025.05.02 12:34:19,17016095,buy,0.07,EURUSD,1.13383,79285805,,,in,0,0,0
2025.05.02 12:45:56,17016243,buy,0.07,USDJPY,144.563,79285948,,,out,0,0,9.39
2025.05.02 12:45:57,17016244,sell,0.07,EURUSD,1.1347,79285949,,,out,0,0,5.37
2025.05.02 12:49:49,17016286,buy,0.07,EURUSD,1.13506,79285992,,,in,0,0,0
2025.05.02 12:50:17,17016296,sell,0.07,USDJPY,144.503,79286002,,,in,0,0,0
2025.05.02 13:03:00,17016426,sell,0.07,EURUSD,1.1346,79286134,,,in,0,0,0
2025.05.02 13:03:22,17016431,buy,0.07,USDJPY,144.616,79286139,,,in,0,0,0
2025.05.02 13:17:11,17016499,buy,0.07,USDJPY,144.683,79286209,,,out,0,0,-7.68
2025.05.02 13:17:11,17016500,sell,0.07,EURUSD,1.13429,79286210,,,out,0,0,-4.75
2025.05.02 15:25:35,17017681,buy,0.07,EURUSD,1.13299,79287395,,,out,0,0,9.95
2025.05.02 15:29:55,17017728,buy,0.07,EURUSD,1.13387,79287443,,,in,0,0,0
2025.05.02 15:30:40,17017889,sell,0.07,USDJPY,144.816,79287599,,,out,0,0,8.54
2025.05.02 15:30:57,17017916,buy,0.07,USDJPY,144.904,79287627,,,in,0,0,0
2025.05.02 15:31:13,17017948,sell,0.07,EURUSD,1.13056,79287658,,,in,0,0,0
2025.05.02 15:35:03,17018176,sell,0.07,EURUSD,1.13189,79287888,,,out,0,0,-12.25
2025.05.02 16:26:45,17019536,buy,0.07,EURUSD,1.13495,79289242,,,out,0,0,-27.08
2025.05.02 16:27:01,17019551,sell,0.07,USDJPY,144.057,79289257,,,in,0,0,0
2025.05.02 16:27:23,17019565,buy,0.07,EURUSD,1.13551,79289272,,,in,0,0,0
2025.05.02 16:38:02,17019872,sell,0.07,USDJPY,143.889,79289580,,,out,0,0,-43.44
2025.05.02 16:38:03,17019877,buy,0.07,EURUSD,1.13646,79289585,,,out,0,0.2,-53.28
2025.05.02 16:38:09,17019879,sell,0.07,USDJPY,143.907,79289587,,,out,0,0,-82.17
2025.05.02 16:40:54,17020016,sell,0.07,EURUSD,1.13701,79289722,,,out,0,0,9.23
2025.05.02 16:40:55,17020019,buy,0.07,USDJPY,143.784,79289725,,,out,0,0,11.69
2025.05.02 17:17:49,17020880,sell,0.07,EURUSD,1.13601,79290601,,,in,0,0,0
2025.05.02 17:18:24,17020890,sell,0.07,USDJPY,144.099,79290611,,,in,0,0,0
2025.05.02 17:18:26,17020891,buy,0.07,USDJPY,144.11,79290612,,,in,0,0,0
2025.05.02 17:18:33,17020895,buy,0.07,USDJPY,144.121,79290616,,,out,0,0,-0.94
2025.05.02 19:02:14,17022121,buy,0.07,EURUSD,1.13329,79291862,,,out,0,0,16.8
2025.05.02 19:02:22,17022122,sell,0.07,USDJPY,144.601,79291863,,,out,0,0,20.97
2025.05.02 19:02:51,17022130,buy,0.07,USDJPY,144.712,79291871,,,in,0,0,0
2025.05.02 19:09:27,17022253,sell,0.07,USDJPY,144.613,79291993,,,out,0,0,-4.23
2025.05.02 19:11:55,17022306,sell,0.07,USDJPY,144.545,79292046,,,in,0,0,0
2025.05.02 19:12:23,17022312,buy,0.07,EURUSD,1.13317,79292052,,,in,0,0,0
2025.05.02 19:54:10,17022588,sell,0.07,EURUSD,1.13176,79292337,[sl 1.13176],,out,0,0,-8.72
2025.05.02 19:57:07,17022613,buy,0.07,USDJPY,144.7,79292363,,,out,0,0,-6.62
2025.05.02 20:00:02,17022633,buy,0.07,USDJPY,144.698,79292382,,,in,0,0,0
2025.05.02 21:52:45,17024028,sell,0.07,EURUSD,1.12929,79293782,,,in,0,0,0
2025.05.02 22:10:46,17024302,sell,0.07,USDJPY,144.915,79294056,,,out,0,0,9.27
2025.05.02 22:25:48,17024395,buy,0.05,USDJPY,144.986,79294149,,,in,0,0,0
2025.05.02 22:43:43,17024580,sell,0.05,USDJPY,145.063,79294334,,,in,0,0,0
2025.05.02 22:44:54,17024585,buy,0.05,USDJPY,145.012,79294339,,,out,0,0,1.56
2025.05.05 13:00:47,17028671,sell,0.05,USDJPY,143.815,79298446,,,in,0,0,0
2025.05.05 13:01:06,17028673,buy,0.05,EURUSD,1.13447,79298448,,,in,0,0,0
2025.05.05 13:11:55,17028732,sell,0.05,EURUSD,1.13348,79298512,[sl 1.13348],,out,0,0,-4.37
2025.05.05 13:12:48,17028744,buy,0.05,USDJPY,143.933,79298524,,,out,0,0,-3.62
