<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.03.02	21:00:00	107.928	108.079	107.786	107.851	4053	0	6
2020.03.02	22:00:00	107.853	108.469	107.853	108.431	4622	0	6
2020.03.02	23:00:00	108.430	108.459	108.265	108.308	2058	0	6
2020.03.03	00:00:00	108.333	108.363	108.257	108.278	578	0	6
2020.03.03	01:00:00	108.276	108.532	108.206	108.524	2836	0	6
2020.03.03	02:00:00	108.520	108.525	108.242	108.320	3600	0	6
2020.03.03	03:00:00	108.321	108.321	107.994	108.085	3534	0	6
2020.03.03	04:00:00	108.094	108.188	107.931	107.952	2963	0	6
2020.03.03	05:00:00	107.953	108.048	107.911	108.006	2301	0	6
2020.03.03	06:00:00	108.005	108.034	107.659	107.813	3509	0	6
2020.03.03	07:00:00	107.812	107.882	107.753	107.761	2140	0	6
2020.03.03	08:00:00	107.759	107.952	107.691	107.929	2544	0	6
2020.03.03	09:00:00	107.930	108.049	107.838	108.034	4163	0	6
2020.03.03	10:00:00	108.031	108.134	107.887	108.072	4955	0	6
2020.03.03	11:00:00	108.070	108.070	107.920	107.972	3325	0	6
2020.03.03	12:00:00	107.973	108.038	107.893	107.998	2437	0	6
2020.03.03	13:00:00	107.999	108.005	107.856	107.925	2944	0	6
2020.03.03	14:00:00	107.924	108.070	107.593	107.722	6389	0	6
2020.03.03	15:00:00	107.721	107.951	107.643	107.749	5862	0	6
2020.03.03	16:00:00	107.751	107.873	107.611	107.666	5229	0	6
2020.03.03	17:00:00	107.663	107.897	107.153	107.539	15921	0	6
2020.03.03	18:00:00	107.536	107.580	107.192	107.291	8929	0	6
2020.03.03	19:00:00	107.290	107.465	107.187	107.336	5811	0	6
2020.03.03	20:00:00	107.334	107.348	106.979	107.045	6367	0	6
2020.03.03	21:00:00	107.042	107.304	106.927	107.246	11224	0	6
2020.03.03	22:00:00	107.250	107.343	107.160	107.206	7580	0	6
2020.03.03	23:00:00	107.205	107.237	107.089	107.119	1304	0	6
2020.03.04	00:00:00	107.106	107.178	107.090	107.148	1441	0	6
2020.03.04	01:00:00	107.150	107.155	106.848	107.065	4447	0	6
2020.03.04	02:00:00	107.061	107.403	107.030	107.338	6318	0	6
2020.03.04	03:00:00	107.337	107.515	107.237	107.301	4638	0	6
2020.03.04	04:00:00	107.298	107.383	107.187	107.336	2888	0	6
2020.03.04	05:00:00	107.338	107.472	107.316	107.418	2376	0	6
2020.03.04	06:00:00	107.418	107.441	107.352	107.361	1611	0	6
2020.03.04	07:00:00	107.360	107.431	107.336	107.397	1478	0	6
2020.03.04	08:00:00	107.398	107.501	107.376	107.416	2215	0	6
2020.03.04	09:00:00	107.415	107.689	107.414	107.526	4286	0	6
2020.03.04	10:00:00	107.525	107.525	107.323	107.413	5312	0	6
2020.03.04	11:00:00	107.412	107.502	107.367	107.418	3658	0	6
2020.03.04	12:00:00	107.416	107.539	107.413	107.499	2762	0	6
2020.03.04	13:00:00	107.500	107.555	107.460	107.488	1795	0	6
2020.03.04	14:00:00	107.488	107.660	107.459	107.538	3223	0	6
2020.03.04	15:00:00	107.538	107.588	107.455	107.474	4238	0	6
2020.03.04	16:00:00	107.473	107.486	107.145	107.217	5573	0	6
2020.03.04	17:00:00	107.237	107.448	107.146	107.268	7131	0	6
2020.03.04	18:00:00	107.272	107.539	107.234	107.338	5605	0	6
2020.03.04	19:00:00	107.339	107.430	107.298	107.421	3362	0	6
2020.03.04	20:00:00	107.422	107.500	107.406	107.456	2820	0	6
2020.03.04	21:00:00	107.456	107.465	107.296	107.319	3257	0	6
2020.03.04	22:00:00	107.313	107.523	107.312	107.504	3567	0	6
2020.03.04	23:00:00	107.510	107.570	107.457	107.537	1195	0	6
2020.03.05	00:00:00	107.521	107.583	107.501	107.538	1076	0	6
2020.03.05	01:00:00	107.538	107.738	107.507	107.712	1746	0	6
2020.03.05	02:00:00	107.714	107.715	107.458	107.517	3999	0	6
2020.03.05	03:00:00	107.516	107.520	107.383	107.450	2437	0	6
2020.03.05	04:00:00	107.451	107.454	107.261	107.304	1753	0	6
2020.03.05	05:00:00	107.306	107.325	107.272	107.318	1237	0	6
2020.03.05	06:00:00	107.317	107.348	107.271	107.328	828	0	6
2020.03.05	07:00:00	107.329	107.436	107.327	107.379	1103	0	6
2020.03.05	08:00:00	107.378	107.381	107.272	107.321	1402	0	6
2020.03.05	09:00:00	107.320	107.371	107.188	107.367	2477	0	6
2020.03.05	10:00:00	107.368	107.383	107.219	107.240	3249	0	6
2020.03.05	11:00:00	107.239	107.243	106.913	106.943	5016	0	6
2020.03.05	12:00:00	106.942	106.975	106.793	106.806	3718	0	6
2020.03.05	13:00:00	106.808	107.029	106.808	106.893	3908	0	6
2020.03.05	14:00:00	106.894	106.938	106.815	106.910	3443	0	6
2020.03.05	15:00:00	106.913	106.951	106.806	106.829	3447	0	6
2020.03.05	16:00:00	106.828	106.888	106.721	106.750	5125	0	6
2020.03.05	17:00:00	106.749	106.941	106.638	106.660	5897	0	6
2020.03.05	18:00:00	106.666	106.762	106.507	106.561	4565	0	6
2020.03.05	19:00:00	106.560	106.570	106.243	106.259	5189	0	6
2020.03.05	20:00:00	106.261	106.495	106.221	106.444	5210	0	6
2020.03.05	21:00:00	106.444	106.513	106.371	106.394	4002	0	6
2020.03.05	22:00:00	106.396	106.471	106.009	106.009	5952	0	6
2020.03.05	23:00:00	106.008	106.172	105.967	106.150	2174	0	6
2020.03.06	00:00:00	106.136	106.193	106.044	106.169	1221	0	6
2020.03.06	01:00:00	106.167	106.268	106.085	106.260	1935	0	6
2020.03.06	02:00:00	106.259	106.340	106.146	106.262	3259	0	6
2020.03.06	03:00:00	106.261	106.266	105.910	105.952	3436	0	6
2020.03.06	04:00:00	105.951	106.009	105.829	105.921	4064	0	6
