<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.02.06	01:00:00	1.20405	1.20567	1.20313	1.20429	3822	0	6
2023.02.06	02:00:00	1.20428	1.20502	1.20306	1.20385	4958	0	6
2023.02.06	03:00:00	1.20386	1.20497	1.20344	1.20415	5141	0	6
2023.02.06	04:00:00	1.20415	1.20607	1.20380	1.20543	4128	0	6
2023.02.06	05:00:00	1.20543	1.20628	1.20510	1.20525	3148	0	6
2023.02.06	06:00:00	1.20525	1.20629	1.20511	1.20590	3110	0	6
2023.02.06	07:00:00	1.20589	1.20671	1.20547	1.20671	2474	0	6
2023.02.06	08:00:00	1.20670	1.20683	1.20551	1.20636	2433	0	6
2023.02.06	09:00:00	1.20635	1.20673	1.20512	1.20530	4217	0	6
2023.02.06	10:00:00	1.20530	1.20696	1.20350	1.20606	7583	0	6
2023.02.06	11:00:00	1.20605	1.20682	1.20342	1.20361	6208	0	6
2023.02.06	12:00:00	1.20361	1.20434	1.20217	1.20268	5913	0	6
2023.02.06	13:00:00	1.20261	1.20558	1.20212	1.20503	4713	0	6
2023.02.06	14:00:00	1.20503	1.20769	1.20425	1.20664	5815	0	6
2023.02.06	15:00:00	1.20663	1.20724	1.20456	1.20490	6365	0	6
2023.02.06	16:00:00	1.20488	1.20751	1.20386	1.20498	7843	0	6
2023.02.06	17:00:00	1.20493	1.20525	1.20066	1.20122	8195	0	6
2023.02.06	18:00:00	1.20123	1.20274	1.20053	1.20080	6807	0	6
2023.02.06	19:00:00	1.20080	1.20186	1.20058	1.20115	5185	0	6
2023.02.06	20:00:00	1.20113	1.20264	1.20075	1.20243	3858	0	6
2023.02.06	21:00:00	1.20243	1.20383	1.20215	1.20234	3819	0	6
2023.02.06	22:00:00	1.20234	1.20305	1.20165	1.20227	5557	0	6
2023.02.06	23:00:00	1.20225	1.20245	1.20174	1.20210	3117	0	6
2023.02.07	00:00:00	1.20187	1.20224	1.20158	1.20176	1494	0	23
2023.02.07	01:00:00	1.20168	1.20268	1.20133	1.20254	1544	0	6
2023.02.07	02:00:00	1.20259	1.20363	1.20240	1.20354	2618	0	6
2023.02.07	03:00:00	1.20359	1.20544	1.20355	1.20517	3022	0	6
2023.02.07	04:00:00	1.20517	1.20522	1.20460	1.20506	2225	0	6
2023.02.07	05:00:00	1.20508	1.20551	1.20429	1.20458	4260	0	6
2023.02.07	06:00:00	1.20457	1.20472	1.20349	1.20405	2313	0	6
2023.02.07	07:00:00	1.20404	1.20498	1.20383	1.20481	2998	0	6
2023.02.07	08:00:00	1.20481	1.20570	1.20420	1.20423	3240	0	6
2023.02.07	09:00:00	1.20423	1.20435	1.20187	1.20224	4474	0	6
2023.02.07	10:00:00	1.20225	1.20287	1.19862	1.20215	8550	0	6
2023.02.07	11:00:00	1.20215	1.20398	1.20049	1.20051	5861	0	6
2023.02.07	12:00:00	1.20052	1.20111	1.19910	1.19951	4915	0	6
2023.02.07	13:00:00	1.19950	1.19960	1.19724	1.19843	5514	0	6
2023.02.07	14:00:00	1.19846	1.19987	1.19756	1.19853	4641	0	6
2023.02.07	15:00:00	1.19853	1.19882	1.19609	1.19791	6355	0	6
2023.02.07	16:00:00	1.19791	1.19848	1.19708	1.19765	6398	0	6
2023.02.07	17:00:00	1.19765	1.20114	1.19673	1.20106	7638	0	6
2023.02.07	18:00:00	1.20104	1.20230	1.20013	1.20113	7339	0	6
2023.02.07	19:00:00	1.20113	1.20950	1.19966	1.20844	11149	0	6
2023.02.07	20:00:00	1.20843	1.20902	1.19869	1.20086	18649	0	6
2023.02.07	21:00:00	1.20088	1.20478	1.20069	1.20335	8390	0	6
2023.02.07	22:00:00	1.20332	1.20469	1.20212	1.20392	5499	0	6
2023.02.07	23:00:00	1.20392	1.20503	1.20357	1.20480	1705	0	6
2023.02.08	00:00:00	1.20369	1.20515	1.20306	1.20458	4385	0	12
2023.02.08	01:00:00	1.20458	1.20544	1.20450	1.20535	1501	0	8
2023.02.08	02:00:00	1.20534	1.20614	1.20509	1.20561	2035	0	6
