<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.05.29	02:00:00	1.10735	1.10791	1.10722	1.10777	746	0	6
2020.05.29	03:00:00	1.10775	1.10808	1.10697	1.10763	1821	0	6
2020.05.29	04:00:00	1.10764	1.10878	1.10739	1.10867	1604	0	6
2020.05.29	05:00:00	1.10867	1.10887	1.10820	1.10878	1136	0	6
2020.05.29	06:00:00	1.10878	1.10902	1.10836	1.10894	748	0	6
2020.05.29	07:00:00	1.10895	1.11000	1.10895	1.10992	872	0	6
2020.05.29	08:00:00	1.10991	1.11107	1.10922	1.11003	1462	0	6
2020.05.29	09:00:00	1.11005	1.11070	1.10893	1.10992	2711	0	6
2020.05.29	10:00:00	1.10991	1.11135	1.10891	1.11049	4334	0	6
2020.05.29	11:00:00	1.11048	1.11196	1.10957	1.11168	4151	0	6
2020.05.29	12:00:00	1.11169	1.11377	1.11124	1.11324	4294	0	6
2020.05.29	13:00:00	1.11323	1.11404	1.11258	1.11302	3038	0	6
2020.05.29	14:00:00	1.11303	1.11416	1.11292	1.11351	2956	0	6
2020.05.29	15:00:00	1.11353	1.11447	1.11290	1.11294	3369	0	6
2020.05.29	16:00:00	1.11295	1.11304	1.11010	1.11193	5859	0	6
2020.05.29	17:00:00	1.11195	1.11326	1.11106	1.11252	7592	0	6
2020.05.29	18:00:00	1.11249	1.11281	1.10938	1.11065	6136	0	6
2020.05.29	19:00:00	1.11064	1.11109	1.10892	1.10975	2908	0	6
2020.05.29	20:00:00	1.10974	1.10984	1.10807	1.10909	2300	0	6
2020.05.29	21:00:00	1.10909	1.11004	1.10839	1.10994	3722	0	6
2020.05.29	22:00:00	1.10994	1.11064	1.10858	1.10992	3526	0	6
2020.05.29	23:00:00	1.10993	1.11082	1.10977	1.11033	1466	0	6
2020.06.01	00:00:00	1.11140	1.11189	1.11123	1.11132	354	0	6
2020.06.01	01:00:00	1.11131	1.11141	1.11023	1.11116	1255	0	6
2020.06.01	02:00:00	1.11117	1.11193	1.11113	1.11155	864	0	6
2020.06.01	03:00:00	1.11154	1.11258	1.11125	1.11214	2084	0	6
2020.06.01	04:00:00	1.11213	1.11400	1.11162	1.11337	2497	0	6
2020.06.01	05:00:00	1.11341	1.11400	1.11298	1.11370	1351	0	6
2020.06.01	06:00:00	1.11369	1.11380	1.11323	1.11327	950	0	6
2020.06.01	07:00:00	1.11327	1.11379	1.11324	1.11332	752	0	6
2020.06.01	08:00:00	1.11329	1.11423	1.11303	1.11394	1043	0	6
2020.06.01	09:00:00	1.11393	1.11502	1.11349	1.11368	2441	0	6
2020.06.01	10:00:00	1.11368	1.11537	1.11316	1.11485	3924	0	6
2020.06.01	11:00:00	1.11486	1.11486	1.11159	1.11394	6400	0	6
2020.06.01	12:00:00	1.11396	1.11411	1.11073	1.11137	3591	0	6
2020.06.01	13:00:00	1.11138	1.11162	1.11002	1.11057	3121	0	6
2020.06.01	14:00:00	1.11056	1.11201	1.11055	1.11118	2541	0	6
2020.06.01	15:00:00	1.11117	1.11204	1.11006	1.11098	2951	0	6
2020.06.01	16:00:00	1.11097	1.11265	1.11031	1.11252	3390	0	6
2020.06.01	17:00:00	1.11252	1.11382	1.11190	1.11368	5543	0	6
2020.06.01	18:00:00	1.11368	1.11402	1.11127	1.11224	3545	0	6
2020.06.01	19:00:00	1.11223	1.11295	1.11188	1.11295	2003	0	6
2020.06.01	20:00:00	1.11294	1.11325	1.11248	1.11290	1233	0	6
2020.06.01	21:00:00	1.11292	1.11326	1.11222	1.11321	1356	0	6
2020.06.01	22:00:00	1.11320	1.11360	1.11289	1.11349	1207	0	6
2020.06.01	23:00:00	1.11348	1.11360	1.11308	1.11335	588	0	6
2020.06.02	00:00:00	1.11346	1.11355	1.11301	1.11314	194	0	6
2020.06.02	01:00:00	1.11313	1.11351	1.11308	1.11320	435	0	6
2020.06.02	02:00:00	1.11320	1.11322	1.11236	1.11251	559	0	6
2020.06.02	03:00:00	1.11251	1.11380	1.11245	1.11315	1866	0	6
2020.06.02	04:00:00	1.11316	1.11328	1.11231	1.11254	1226	0	6
2020.06.02	05:00:00	1.11254	1.11259	1.11187	1.11237	1150	0	6
2020.06.02	06:00:00	1.11236	1.11268	1.11229	1.11264	723	0	6
2020.06.02	07:00:00	1.11265	1.11272	1.11230	1.11254	686	0	6
2020.06.02	08:00:00	1.11255	1.11373	1.11242	1.11335	1411	0	6
2020.06.02	09:00:00	1.11337	1.11376	1.11150	1.11184	2961	0	6
2020.06.02	10:00:00	1.11182	1.11366	1.11161	1.11276	4728	0	6
2020.06.02	11:00:00	1.11274	1.11711	1.11230	1.11701	6319	0	6
2020.06.02	12:00:00	1.11701	1.11874	1.11698	1.11799	4915	0	6
2020.06.02	13:00:00	1.11803	1.11808	1.11641	1.11683	3955	0	6
2020.06.02	14:00:00	1.11684	1.11697	1.11546	1.11688	3344	0	6
2020.06.02	15:00:00	1.11690	1.11791	1.11567	1.11647	4862	0	6
2020.06.02	16:00:00	1.11646	1.11887	1.11631	1.11887	4235	0	6
2020.06.02	17:00:00	1.11886	1.11956	1.11751	1.11832	5783	0	6
2020.06.02	18:00:00	1.11832	1.11877	1.11638	1.11655	4494	0	6
2020.06.02	19:00:00	1.11657	1.11835	1.11633	1.11737	3102	0	6
2020.06.02	20:00:00	1.11737	1.11809	1.11638	1.11703	2331	0	6
2020.06.02	21:00:00	1.11704	1.11742	1.11648	1.11718	1647	0	6
2020.06.02	22:00:00	1.11718	1.11730	1.11608	1.11652	1859	0	6
2020.06.02	23:00:00	1.11654	1.11682	1.11629	1.11681	714	0	6
2020.06.03	00:00:00	1.11673	1.11718	1.11673	1.11695	348	0	7
2020.06.03	01:00:00	1.11695	1.11742	1.11664	1.11729	417	0	6
2020.06.03	02:00:00	1.11729	1.11871	1.11690	1.11848	1405	0	6
2020.06.03	03:00:00	1.11848	1.12009	1.11795	1.11927	2583	0	6
2020.06.03	04:00:00	1.11928	1.12004	1.11856	1.11876	2695	0	6
2020.06.03	05:00:00	1.11875	1.11966	1.11825	1.11952	1688	0	6
2020.06.03	06:00:00	1.11949	1.12108	1.11935	1.12075	1680	0	6
2020.06.03	07:00:00	1.12075	1.12089	1.12020	1.12030	1107	0	6
2020.06.03	08:00:00	1.12029	1.12118	1.11993	1.12037	1285	0	6
2020.06.03	09:00:00	1.12037	1.12136	1.12028	1.12089	2912	0	6
2020.06.03	10:00:00	1.12087	1.12273	1.12056	1.12161	4984	0	6
2020.06.03	11:00:00	1.12161	1.12178	1.11908	1.12102	5267	0	6
2020.06.03	12:00:00	1.12103	1.12265	1.12098	1.12173	3353	0	6
2020.06.03	13:00:00	1.12172	1.12175	1.11995	1.11996	3438	0	6
2020.06.03	14:00:00	1.11998	1.12058	1.11837	1.11940	4093	0	6
2020.06.03	15:00:00	1.11939	1.12096	1.11861	1.11910	4667	0	6
2020.06.03	16:00:00	1.11910	1.12180	1.11862	1.12144	6172	0	6
2020.06.03	17:00:00	1.12143	1.12362	1.12124	1.12164	8124	0	6
2020.06.03	18:00:00	1.12166	1.12511	1.12155	1.12459	5370	0	6
2020.06.03	19:00:00	1.12457	1.12490	1.12337	1.12363	3048	0	6
2020.06.03	20:00:00	1.12365	1.12399	1.12321	1.12397	1620	0	6
2020.06.03	21:00:00	1.12397	1.12427	1.12329	1.12375	1696	0	6
2020.06.03	22:00:00	1.12375	1.12574	1.12351	1.12418	2357	0	6
2020.06.03	23:00:00	1.12421	1.12438	1.12317	1.12333	1289	0	6
2020.06.04	00:00:00	1.12331	1.12378	1.12326	1.12351	384	0	6
2020.06.04	01:00:00	1.12348	1.12359	1.12294	1.12318	660	0	6
2020.06.04	02:00:00	1.12319	1.12362	1.12304	1.12348	676	0	6
2020.06.04	03:00:00	1.12348	1.12350	1.12133	1.12218	1832	0	6
2020.06.04	04:00:00	1.12222	1.12243	1.12158	1.12197	1383	0	6
2020.06.04	05:00:00	1.12198	1.12218	1.12141	1.12142	1147	0	6
2020.06.04	06:00:00	1.12141	1.12185	1.12119	1.12162	791	0	6
2020.06.04	07:00:00	1.12162	1.12180	1.12110	1.12151	790	0	6
2020.06.04	08:00:00	1.12153	1.12197	1.12133	1.12143	956	0	6
2020.06.04	09:00:00	1.12148	1.12209	1.12001	1.12115	2380	0	6
2020.06.04	10:00:00	1.12114	1.12122	1.11983	1.12014	3188	0	6
2020.06.04	11:00:00	1.12013	1.12093	1.11945	1.12066	3488	0	6
2020.06.04	12:00:00	1.12062	1.12062	1.11952	1.11991	2895	0	6
2020.06.04	13:00:00	1.11992	1.12104	1.11977	1.12045	2485	0	6
2020.06.04	14:00:00	1.12045	1.12719	1.11950	1.12666	6452	0	6
